World Rank,Institution
1173,China Three Gorges University
1174,University of Calcutta
1175,Babson College
1176,Istanbul University-Cerrahpaşa
1177,Yamagata University
1178,Dongguan University of Technology
1179,Hunter College
1180,University of Texas Rio Grande Valley
1181,Toho University
1182,VetAgro Sup
1183,University of Salzburg
1184,Sant'Anna School of Advanced Studies
1185,Gran Sasso Science Institute
1186,Pablo de Olavide University
1187,Pukyong National University
1188,University of Ghana
1189,University of Western Cape
1190,University of North Carolina at Greensboro
1191,University of Urbino
1192,Shanghai Ocean University
1193,King Khalid University
1194,Sanford Burnham Prebys Medical Discovery Institute
1195,Bournemouth University
1196,Hamad Bin Khalifa University
1197,Loma Linda University
1198,V.A. Engelhardt Institute of Molecular Biology of the Russian Academy of Sciences
1199,Khon Kaen University
1200,Poznan University of Medical Sciences
1201,Inner Mongolia University
1202,United States Naval Academy
1203,Kagoshima University
1204,Anhui University of Technology
1205,Brno University of Technology
1206,Dokuz Eylül University
1207,Anna University
1208,University of Waikato
1209,Shihezi University
1210,"University of Chemistry and Technology, Prague"
1211,Al-Azhar University
1212,Tabriz University of Medical Sciences
1213,Creighton University
1214,University of Augsburg
1215,Teikyo University
1216,"Vietnam National University, Hanoi"
1217,Singapore Management University
1218,University of Pécs
1219,Lanzhou University of Technology
1220,University of Maribor
1221,Gunma University
1222,University of Gdańsk
1223,"University of the West of England, Bristol"
1224,University of South Africa
1225,China Jiliang University
1226,Prince of Songkla University
1227,Bohai University
1228,Shiraz University of Medical Sciences
1229,Kyoto Prefectural University of Medicine
1230,Fujita Health University
1231,University of Upper Alsace
1232,University of Lincoln
1233,North University of China
1234,Thapar Institute of Engineering and Technology
1235,Indian Agricultural Research Institute
1236,Metropolitan Autonomous University
1237,University of Jaén
1238,Shenyang Agricultural University
1239,Jikei University
1240,Chuo University
1241,Huzhou University
1242,Nippon Medical School
1243,Nagoya City University
1244,Florida Institute of Technology
1245,Aligarh Muslim University
1246,Indian Institute of Technology Hyderabad
1247,National Defense Medical Center
1248,Yangtze University
1249,Gaziantep University
1250,Keimyung University
1251,Jordan University of Science and Technology
1252,Gdańsk University of Technology
1253,University of the Sunshine Coast
1254,Shenyang Pharmaceutical University
1255,South Dakota State University
1256,Prince Sattam Bin Abdulaziz University
1257,National Institute of Public Health (INSP)
1258,Brandenburg University of Technology
1259,Kunming Medical University
1260,"Birla Institute of Technology and Science, Pilani"
1261,Erciyes University
1262,Institute of Mathematics of the National Academy of Sciences of Ukraine
1263,Howard University
1264,K. N. Toosi University of Technology
1265,Sultan Qaboos University
1266,Isfahan University of Medical Sciences
1267,Federal University of Paraíba
1268,Federal University of Espírito Santo
1269,Conservatoire national des arts et métiers
1270,"University of Veterinary Medicine, Vienna"
1271,Shandong University of Technology
1272,Education University of Hong Kong
1273,Silesian University of Technology
1274,Catholic University of America
1275,"Vietnam National University, Ho Chi Minh City"
1276,Suzhou University of Science and Technology
1277,Autonomous University of San Luis Potosí
1278,University of Technology of Belfort-Montbéliard
1279,Shanghai Maritime University
1280,Foshan University
1281,King Saud bin Abdulaziz University for Health Sciences
1282,University of Stavanger
1283,Ca' Foscari University of Venice
1284,Federal University of Lavras
1285,Oakland University
1286,National University of Science and Technology MISiS
1287,Taif University
1288,Federal University of Pará
1289,University of Greenwich
1290,Zhejiang Chinese Medical University
1291,Wilfrid Laurier University
1292,University of Las Palmas de Gran Canaria
1293,Stevens Institute of Technology
1294,Federal University of Uberlândia
1295,Yokohama National University
1296,University of Jordan
1297,University of Hyderabad
1298,Mie University
1299,United States Military Academy
1300,Beijing University of Chinese Medicine
1301,Warsaw University of Life Sciences
1302,ESSEC Business School
1303,New York Medical College
1304,Yamaguchi University
1305,Brock University
1306,Magna Graecia University of Catanzaro
1307,Santa Clara University
1308,Nara Institute of Science and Technology
1309,Kwame Nkrumah University of Science and Technology
1310,Public University of Navarre
1311,Near East University
1312,École nationale vétérinaire d'Alfort
1313,Louisiana Tech University
1314,Campus Bio-Medico University
1315,Government College University Faisalabad
1316,Texas State University
1317,Tokyo Medical University
1318,South-Central Minzu University
1319,Manhattan University
1320,Peoples' Friendship University of Russia
1321,Hunan University of Science and Technology
1322,Saitama Medical University
1323,Maynooth University
1324,Xi'an University of Science and Technology
1325,Central South University of Forestry and Technology
1326,North China University of Science and Technology
1327,Soongsil University
1328,"Indian Institute of Science Education and Research, Kolkata"
1329,Hirosaki University
1330,National Institute for Space Research (INPE)
1331,University of Lodz
1332,SRM Institute of Science and Technology
1333,Kasetsart University
1334,Albany Medical College
1335,Fu Jen Catholic University
1336,Rhodes University
1337,University of Neuchâtel
1338,LSU Health Sciences Center New Orleans
1339,"Indian Institute of Technology (Indian School of Mines), Dhanbad"
1340,University of Foggia
1341,Tuscia University
1342,Hebei Agricultural University
1343,Shanghai University of Electric Power
1344,Henan University of Technology
1345,University of Silesia in Katowice
1346,Incheon National University
1347,Kuwait University
1348,Austral University of Chile
1349,Chemnitz University of Technology
1350,École centrale de Lyon
1351,Indian Institute of Technology (BHU) Varanasi
1352,University of North Dakota
1353,Imam Abdulrahman Bin Faisal University
1354,Boise State University
1355,"National Institute of Technology, Rourkela"
1356,Beni Suef University
1357,Mohammed First University Oujda
1358,Atatürk University
1359,National University of Distance Education
1360,Linnaeus University
1361,University of León
1362,Hubei University of Technology
1363,Guizhou Medical University
1364,Mersin University
1365,École de technologie supérieure
1366,University of Monastir
1367,Federal University of Mato Grosso do Sul
1368,State University of Maringá
1369,University of Almería
1370,Chung Shan Medical University
1371,University of Yaoundé I
1372,Transilvania University of Brașov
1373,University of Camerino
1374,Sichuan Normal University
1375,Istanbul Bilgi University
1376,University of Indonesia
1377,"California State University, Fullerton"
1378,Zhengzhou University of Light Industry
1379,Liaoning University
1380,Indian Institute of Technology Indore
1381,Babol Noshirvani University of Technology
1382,Smith College
1383,Guilin University of Technology
1384,Rowan University
1385,Federal University of São João del-Rei
1386,University of Guadalajara
1387,University of Alabama in Huntsville
1388,San Francisco State University
1389,Showa University
1390,SUNY College of Environmental Science and Forestry
1391,Toulouse Capitole University
1392,Southern Cross University
1393,Pushchino Scientific Center for Biological Research of the Russian Academy of Sciences
1394,Nanchang Hangkong University
1395,Jeju National University
1396,University of Huddersfield
1397,Zhongnan University of Economics and Law
1398,University of Carthage
1399,University of Costa Rica
1400,Harbin University of Science and Technology
1401,Lakehead University
1402,"California Polytechnic State University, San Luis Obispo"
1403,University of Nairobi
1404,Helwan University
1405,Kurume University
1406,Southwest Medical University
1407,Osnabrück University
1408,Indian Association for the Cultivation of Science
1409,Hebei Normal University
1410,Xi'an Jiaotong-Liverpool University
1411,University of Algarve
1412,University of Yamanashi
1413,Visva-Bharati University
1414,Qingdao University of Technology
1415,Dong-A University
1416,University of Puerto Rico at Mayagüez
1417,University of San Francisco
1418,Chung Yuan Christian University
1419,Wright State University
1420,Lodz University of Technology
1421,Anglia Ruskin University
1422,Akdeniz University
1423,İzmir Institute of Technology
1424,Tottori University
1425,Ningxia University
1426,Central Michigan University
1427,Suez Canal University
1428,Jiangxi University of Science and Technology
1429,Democritus University of Thrace
1430,Autonomous University of Nuevo León
1431,Kanazawa Institute of Technology
1432,"California State University, Fresno"
1433,Guangdong Medical University
1434,"University of the West Indies, Mona"
1435,Ariel University
1436,Tianjin Normal University
1437,"California State University, Northridge"
1438,University of Miyazaki
1439,University of La Frontera
1440,Saga University
1441,Fukushima Medical University
1442,Taibah University
1443,Umm Al-Qura University
1444,Royal Veterinary College
1445,"University of Santiago, Chile"
1446,University of South Alabama
1447,Oslo Metropolitan University
1448,Indian Institute of Management Calcutta
1449,Shanghai University of Engineering Science
1450,University of the Aegean
1451,West University of Timișoara
1452,Cha University
1453,University of Bradford
1454,Hyogo Medical University
1455,Federal University of Technology - Paraná
1456,Bowdoin College
1457,Cayetano Heredia Peruvian University
1458,Hofstra University
1459,University of Warmia and Mazury in Olsztyn
1460,University of Central Lancashire
1461,Istanbul Aydın University
1462,University of the Ryukyus
1463,Leuphana University of Lüneburg
1464,Menoufia University
1465,University of Beira Interior
1466,Dalian Polytechnic University
1467,Xinjiang Medical University
1468,Hangzhou Medical College
1469,University of Dayton
1470,Fukuoka University
1471,Ibero-American University
1472,University of Latvia
1473,Poznań University of Technology
1474,Benha University
1475,University of Health Sciences
1476,Saitama University
1477,Williams College
1478,Kafrelsheikh University
1479,Ilia State University
1480,University of Peshawar
1481,Uludağ University
1482,Medical University of Lublin
1483,Seoul National University of Science and Technology
1484,Pontifical Catholic University of Valparaíso
1485,Pomeranian Medical University in Szczecin
1486,University of Limoges
1487,University of Missouri-St. Louis
1488,Western Norway University of Applied Sciences
1489,University of International Business and Economics
1490,TOBB University of Economics and Technology
1491,University of Isfahan
1492,De Montfort University
1493,Guangdong Pharmaceutical University
1494,Karadeniz Technical University
1495,Tallinn University of Technology
1496,Linyi University
1497,Selçuk University
1498,Jilin Agricultural University
1499,University of Malawi
1500,Jiangxi Agricultural University
1501,Chosun University
1502,Tamkang University
1503,University of Kashan
1504,Army Engineering University of PLA
1505,Bowling Green State University
1506,Pontifical Catholic University of Rio Grande do Sul
1507,University of Dhaka
1508,Wuhan Textile University
1509,Carleton College
1510,Jiaxing University
1511,Adıyaman University
1512,University of Pau and Pays de l'Adour
1513,San Jose State University
1514,Fayoum University
1515,University of Agder
1516,Kōchi University
1517,Princess Nourah bint Abdulrahman University
1518,Central Queensland University
1519,University of Namur
1520,Alexandru Ioan Cuza University of Iaşi
1521,Shimane University
1522,National Taiwan Ocean University
1523,Oxford Brookes University
1524,Western Michigan University
1525,Maria Sklodowska-Curie National Research Institute of Oncology
1526,State University of Londrina
1527,University of Occupational and Environmental Health Japan
1528,Chengdu University of Traditional Chinese Medicine
1529,Chongqing Technology and Business University
1530,"California State University, Sacramento"
1531,National Chengchi University
1532,Wakayama Medical University
1533,Ball State University
1534,Institute of Solid State Physics of the Russian Academy of Sciences
1535,Taras Shevchenko National University of Kyiv
1536,Middlesex University
1537,"École supérieure de chimie, physique, électronique de Lyon"
1538,Indian Institute of Technology Bhubaneswar
1539,College of the Holy Cross
1540,Nazarbayev University
1541,Anhui University of Science and Technology
1542,Medical University Sofia
1543,Kharkiv Institute of Physics and Technology
1544,Minia University
1545,National Kaohsiung University of Science and Technology
1546,Shanxi Agricultural University
1547,Lebanese American University
1548,University of South-Eastern Norway
1549,Fırat University
1550,University of Avignon
1551,Kafkas University
1552,Doshisha University
1553,"California State University, Long Beach"
1554,Changchun University of Science and Technology
1555,Pavol Jozef Šafárik University in Košice
1556,"University of Puerto Rico, Medical Sciences Campus"
1557,"University of San Francisco, Quito"
1558,National Institute of Amazonian Research (INPA)
1559,Jazan University
1560,University of Kragujevac
1561,Open University of Catalonia
1562,Kagawa University
1563,Poznań University of Life Sciences
1564,Free University of Bozen-Bolzano
1565,Chongqing Normal University
1566,Vienna University of Economics and Business
1567,University of Southern Mississippi
1568,Xinxiang Medical University
1569,V.A. Steklov Mathematical Institute of the Russian Academy of Sciences
1570,Indian Institute of Technology Gandhinagar
1571,Iuliu Hațieganu University of Medicine and Pharmacy
1572,Tokat Gaziosmanpaşa University
1573,Tamil Nadu Dr. M.G.R. Medical University
1574,Urmia University
1575,Shanghai Institute of Technology
1576,National University of Rosario
1577,Hamamatsu University School of Medicine
1578,Montclair State University
1579,East China Jiaotong University
1580,XLRI - Xavier School of Management
1581,MARA University of Technology
1582,Kwansei Gakuin University
1583,Kermanshah University of Medical Sciences
1584,Federal University of Sergipe
1585,Ochanomizu University
1586,Texas Christian University
1587,Polytechnic Institute of Porto
1588,University of South Dakota
1589,University of Trás-os-Montes and Alto Douro
1590,Institute of Tropical Medicine Antwerp
1591,Saveetha Institute of Medical And Technical Sciences
1592,University of Electro-Communications
1593,Taizhou University (Zhejiang)
1594,International University of Health and Welfare
1595,Özyeğin University
1596,University of Sannio
1597,Freiberg University of Mining and Technology
1598,"National Institute of Technology, Tiruchirappalli"
1599,ISCTE – University Institute of Lisbon
1600,Aichi Medical University
1601,University of Salford
1602,British University in Egypt
1603,Bahçeşehir University
1604,Federation University Australia
1605,Nova Southeastern University
1606,Chapman University
1607,University of Gondar
1608,BI Norwegian Business School
1609,Feng Chia University
1610,Pontifical Javeriana University
1611,University of Minnesota Duluth
1612,University of Guilan
1613,Ludong University
1614,Nara Medical University
1615,University of Nigeria
1616,Witten/Herdecke University
1617,Kyushu Institute of Technology
1618,SOAS University of London
1619,Hamburg University of Technology
1620,Diego Portales University
1621,Kookmin University
1622,University of Malta
1623,Suranaree University of Technology
1624,Necmettin Erbakan University
1625,Amrita Vishwa Vidyapeetham
1626,Erzincan Binali Yıldırım University
1627,University of Zambia
1628,Lobachevsky University
1629,University of Rijeka
1630,Sabancı University
1631,Maria Curie-Skłodowska University
1632,Savitribai Phule Pune University
1633,Lincoln University
1634,National Chung Cheng University
1635,Mendel University in Brno
1636,Clark University
1637,Kwangwoon University
1638,Nanjing University of Finance & Economics
1639,China West Normal University
1640,Baruch College
1641,Xinyang Normal University
1642,Ondokuz Mayıs University
1643,Jamia Millia Islamia
1644,Federal University of Rio Grande
1645,Bahauddin Zakariya University
1646,Nagasaki Institute of Applied Science
1647,"Indian Statistical Institute, Kolkata"
1648,Liaoning University of Technology
1649,Sheffield Hallam University
1650,Catholic University of the North
1651,Institute of Applied Physics of the Russian Academy of Sciences
1652,Jacobs University
1653,Michoacán University of San Nicolás of Hidalgo
1654,University of Veterinary Medicine Hanover
1655,University of Valparaíso
1656,Nagoya Institute of Technology
1657,Tribhuvan University
1658,Semnan University
1659,Harbin Normal University
1660,Catholic University of Portugal
1661,Thammasat University
1662,Dongbei University of Finance and Economics
1663,Yancheng Institute of Technology
1664,Hanken School of Economics
1665,Chengdu University of Information Technology
1666,Yunnan Normal University
1667,"California State University, Los Angeles"
1668,Jimei University
1669,Central University of Finance and Economics
1670,Binzhou Medical University
1671,Clarkson University
1672,King Mongkut's University of Technology Thonburi
1673,Slovak University of Technology in Bratislava
1674,Shahid Bahonar University of Kerman
1675,International Islamic University Malaysia
1676,Georgian Technical University
1677,University of the Philippines Manila
1678,Hainan Medical University
1679,University of Tulsa
1680,Air Force Engineering University
1681,Arts et Métiers Sciences et Technologies
1682,Liaoning Normal University
1683,University of Peradeniya
1684,Antonio Nariño University
1685,Zhejiang Ocean University
1686,Lithuanian University of Health Sciences
1687,Kyorin University
1688,University of Perpignan
1689,CY Cergy Paris University
1690,"Institute of Physics, Azerbaijan National Academy of Sciences"
1691,Federal Rural University of Pernambuco
1692,Ningxia Medical University
1693,National University of the Littoral
1694,Shaoxing University
1695,University of Lahore
1696,Norwegian School of Sport Sciences
1697,Cleveland State University
1698,University of Science and Technology Liaoning
1699,Qinghai University
1700,University of Kurdistan
1701,Jimma University
1702,East China University of Technology
1703,Reed College
1704,University of Huelva
1705,Rikkyo University
1706,Guangdong Ocean University
1707,University of Notre Dame Australia
1708,Shanxi Normal University
1709,Jianghan University
1710,Mazandaran University of Medical Sciences
1711,University of Guanajuato
1712,University of Tabuk
1713,Ahvaz Jundishapur University of Medical Sciences
1714,University of Massachusetts Dartmouth
1715,Claremont Graduate University
1716,Nelson Mandela University
1717,University of Québec at Trois-Rivières
1718,Shiga University of Medical Science
1719,Grinnell College
1720,B.I. Stepanov Institute of Physics of The National Academy of Sciences of Belarus
1721,Lanzhou Jiaotong University
1722,University of Agriculture in Krakow
1723,Trent University
1724,Medical University of Białystok
1725,Mae Fah Luang University
1726,Krasnoyarsk Science Center of the Siberian Branch of the Russian Academy of Sciences
1727,DePaul University
1728,N.N. Semenov Institute of Chemical Physics of the Russian Academy of Sciences
1729,Bu-Ali Sina University
1730,Texas Tech University Health Sciences Center
1731,LSU Health Sciences Center Shreveport
1732,Polytechnic University of Hauts-de-France
1733,Eastern Virginia Medical School
1734,St. Marianna University School of Medicine
1735,Edinburgh Napier University
1736,Wonkwang University
1737,University of Évora
1738,PETRONAS University of Technology
1739,University of Leoben
1740,Georgia Southern University
1741,Qassim University
1742,Pontifical Catholic University of Peru
1743,Space Research Institute of the Russian Academy of Sciences
1744,Technical University of Ostrava
1745,Federal University of Mato Grosso
1746,Glasgow Caledonian University
1747,Sapporo Medical University
1748,Roskilde University
1749,University of Lethbridge
1750,Second Institute of Oceanography
1751,Chongqing Jiaotong University
1752,Razi University
1753,Hebei University of Science and Technology
1754,King Faisal University
1755,Bharathiar University
1756,Sookmyung Women's University
1757,Mekelle University
1758,University of Lagos
1759,University of Ruhuna
1760,University of Koblenz
1761,Technical University of Ilmenau
1762,Payame Noor University
1763,Hubei University of Medicine
1764,I-Shou University
1765,Guglielmo Marconi University
1766,Alfaisal University
1767,University of the West of Scotland
1768,Shandong Jianzhu University
1769,Iwate Medical University
1770,Estonian University of Life Sciences
1771,European University Institute
1772,Islamia University of Bahawalpur
1773,Xi'an Technological University
1774,Pontifical Catholic University of Rio de Janeiro
1775,Wuyi University (Guangdong)
1776,Kingston University
1777,Appalachian State University
1778,Western Washington University
1779,Menlo College
1780,University of Zielona Góra
1781,Kansai Medical University
1782,University of Cassino and Southern Lazio
1783,Yazd University
1784,University of the Philippines Diliman
1785,Pontifical Catholic University of Paraná
1786,Comillas Pontifical University
1787,Chongqing University of Technology
1788,Eastern Mediterranean University
1789,Illinois State University
1790,Sohag University
1791,Kocaeli University
1792,Zunyi Medical University
1793,National University of Cuyo
1794,University of Zimbabwe
1795,Polytechnic University of Cartagena
1796,Gansu Agricultural University
1797,Agricultural University of Athens
1798,Inner Mongolia Agricultural University
1799,Sakarya University
1800,Beijing University of Civil Engineering and Architecture
1801,University of Ha'il
1802,Ontario Tech University
1803,Bahir Dar University
1804,Franklin & Marshall College
1805,Xihua University
1806,Gadjah Mada University
1807,University of Louisiana at Lafayette
1808,University of Tarapacá
1809,Yuan Ze University
1810,Minjiang University
1811,Eulji University
1812,University of Niš
1813,Kerman University of Medical Sciences
1814,Cyprus University of Technology
1815,University of Toulouse-Jean Jaurès
1816,"Indian Institute of Science Education and Research, Bhopal"
1817,Süleyman Demirel University
1818,South Dakota School of Mines and Technology
1819,South Ural State University
1820,National Yunlin University of Science and Technology
1821,Autonomous University of Chile
1822,University of La Rioja
1823,Eskişehir Osmangazi University
1824,New York University Shanghai
1825,Embry-Riddle Aeronautical University
1826,University of Talca
1827,Jiangxi University of Finance and Economics
1828,Industrial University of Santander
1829,Ibaraki University
1830,University of Trier
1831,Institute for Pure and Applied Mathematics (IMPA)
1832,Southern Federal University
1833,A.A. Kharkevich Institute for Information Transmission Problems of the Russian Academy of Sciences
1834,Adolfo Ibáñez University
1835,Hungarian University of Agriculture and Life Sciences
1836,Federal University of Triângulo Mineiro
1837,Jouf University
1838,"Amity University, Noida"
1839,Rajiv Gandhi University of Health Sciences
1840,Taiyuan University of Science and Technology
1841,National University of Mar del Plata
1842,University of North Carolina Wilmington
1843,University of Colombo
1844,Northeast Electric Power University
1845,An-Najah National University
1846,Malmö University
1847,Laurentian University
1848,University of Fukui
1849,Ahmadu Bello University
1850,Ohio Wesleyan University
1851,Nicolaus Copernicus Astronomical Center of the Polish Academy of Sciences
1852,G.K. Boreskov Institute of Catalysis of the Siberian Branch of the Russian Academy of Sciences
1853,Hongik University
1854,Northeast Petroleum University
1855,Myongji University
1856,Dokkyo Medical University
1857,Irkutsk Scientific Center of the Siberian Branch of the Russian Academy of Sciences
1858,Kongju National University
1859,Saratov Scientific Center of the Russian Academy of Sciences
1860,St. John's University
1861,Kennesaw State University
1862,Osaka Medical and Pharmaceutical University
1863,Marshall University
1864,University of Molise
1865,Kyoto University of Education
1866,University of Toulon
1867,Trinity University
1868,Nanjing Institute of Technology
1869,Shenyang University of Technology
1870,IFP School
1871,Hiroshima Institute of Technology
1872,Changchun University of Technology
1873,University of Westminster
1874,New Mexico Institute of Mining and Technology
1875,Tianjin University of Traditional Chinese Medicine
1876,University of Desarrollo
1877,University of Management and Technology
1878,SASTRA
1879,Hanoi Medical University
1880,Punjab Agricultural University
1881,Yunnan Agricultural University
1882,National Dong Hwa University
1883,Riga Technical University
1884,Indian Institute of Technology Ropar
1885,"Indian Institute of Science Education and Research, Mohali"
1886,Oita University
1887,Cracow University of Technology
1888,WHU – Otto Beisheim School of Management
1889,University of Artois
1890,Malaviya National Institute of Technology Jaipur
1891,Suez University
1892,Karlstad University
1893,Wrocław University of Environmental and Life Sciences
1894,"Goldsmiths, University of London"
1895,University of Rzeszów
1896,Sanjay Gandhi Postgraduate Institute of Medical Sciences
1897,Gangneung-Wonju National University
1898,Tzu Chi University
1899,University of Jeddah
1900,Bandung Institute of Technology
1901,Sidi Mohamed Ben Abdellah University
1902,Anhui Polytechnic University
1903,Haramaya University
1904,Lebanese University
1905,University of Karachi
1906,American University in Cairo
1907,Leeds Beckett University
1908,James Madison University
1909,"Indian Institute of Science Education and Research, Thiruvananthapuram"
1910,Imam Mohammad Ibn Saud Islamic University
1911,Federal University of Ouro Preto
1912,Bond University
1913,University of Malaysia Terengganu
1914,Tunghai University
1915,Huaiyin Normal University
1916,University of Bergamo
1917,Hanoi University of Science and Technology
1918,Harokopio University
1919,Jönköping University
1920,"West Pomeranian University of Technology, Szczecin"
1921,Wuhan Polytechnic University
1922,Kharazmi University
1923,Alborz University of Medical Sciences
1924,"Institute of Chemical Technology, Mumbai"
1925,European University of Madrid
1926,Brooklyn College
1927,Delhi Technological University
1928,Institute of Mathematics of the Polish Academy of Sciences
1929,University of Mazandaran
1930,Federal University of Campina Grande
1931,University of Ostrava
1932,Union College
1933,Florida Agricultural and Mechanical University
1934,Towson University
1935,Giresun University
1936,Xi’an University of Posts & Telecommunications
1937,University of La Réunion
1938,Anadolu University
1939,First Institute of Oceanography
1940,University of Antofagasta
1941,University of Sousse
1942,Hamadan University of Medical Sciences
1943,Manisa Celal Bayar University
1944,University of Vic - Central University of Catalonia
1945,Kawasaki Medical School
1946,Federal University of Alagoas
1947,Shoolini University
1948,Kaunas University of Technology
1949,Cooper Union
1950,Federal University of Piauí
1951,N.D. Zelinsky Institute of Organic Chemistry of the Russian Academy of Sciences
1952,Jilin Normal University
1953,University of Jammu
1954,Akita University
1955,Bingöl University
1956,Siberian Federal University
1957,ESCP Business School
1958,Shenzhen Polytechnic University
1959,Muhimbili University of Health and Allied Sciences
1960,Technical University of Košice
1961,Shahrood University of Technology
1962,Minzu University of China
1963,Institut supérieur de l'aéronautique et de l'espace
1964,Shiraz University of Technology
1965,Istanbul Medeniyet University
1966,Obafemi Awolowo University
1967,Zurich University of Applied Sciences (ZHAW)
1968,National Institute of Mental Health and Neurosciences
1969,Yanbian University
1970,Baqiyatallah University of Medical Sciences
1971,University of Bialystok
1972,Pamukkale University
1973,Japan Advanced Institute of Science and Technology
1974,Southwest Minzu University
1975,Gebze Technical University
1976,Pirogov Russian National Research Medical University
1977,East Tennessee State University
1978,Pondicherry University
1979,Aswan University
1980,Mimar Sinan Fine Arts University
1981,Sichuan University of Science & Engineering
1982,M.M. Shemyakin and Y.A. Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences
1983,College of Charleston
1984,Mid Sweden University
1985,Meiji University
1986,Sinop University
1987,Hebei University of Engineering
1988,Civil Aviation University of China
1989,Reichman University
1990,University of Madras
1991,Gorgan University of Agricultural Sciences & Natural Resources
1992,Catholic University of Daegu
1993,Zhongkai University of Agriculture and Engineering
1994,Technological Institute of Aeronautics
1995,Kettering University
1996,Hunan University of Technology
1997,Guizhou Normal University
1998,Bengbu Medical University
1999,Federal University of Amazonas
2000,Başkent University
