Rank,Name Country/Region,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
=95,KTH Royal Institute of TechnologySwedenExplore,66.9,52.3,58.3,81.5,97.3,82.9
=95,Lund UniversitySweden,66.9,48.4,58.4,86.0,99.8,79.3
97,University of CopenhagenDenmark,66.6,49.1,51.8,92.0,90.4,79.3
=98,Emory UniversityUnited States,66.3,53.9,46.2,95.3,83.6,67.4
=98,University of SheffieldUnited Kingdom,66.3,48.7,49.1,90.1,94.0,91.8
=100,Penn State (Main campus)United States,66.2,54.5,62.3,83.0,70.9,57.6
=100,University of TübingenGermany,66.2,47.8,55.1,89.0,99.8,73.0
=102,Sungkyunkwan University (SKKU)South KoreaExplore,66.1,58.1,56.7,79.3,99.5,63.7
=102,Yonsei University (Seoul campus)South Korea,66.1,57.5,56.2,84.4,99.9,47.2
=104,Free University of BerlinGermany,65.8,49.9,59.6,82.7,71.0,81.7
=104,University of BernSwitzerland,65.8,46.1,47.9,92.8,99.1,87.1
106,University of WarwickUnited Kingdom,65.7,47.9,51.5,89.0,69.3,96.2
=107,Erasmus University RotterdamNetherlands,65.6,37.2,53.3,96.7,88.7,88.5
=107,Lomonosov Moscow State UniversityRussian Federation,65.6,84.4,74.4,33.3,91.4,72.7
=107,University of HelsinkiFinland,65.6,48.8,58.0,90.9,68.2,59.2
=110,Aarhus UniversityDenmark,65.5,44.2,59.4,84.3,99.7,79.4
=110,University of ViennaAustria,65.5,48.0,61.0,78.6,74.5,94.6
=112,Ghent UniversityBelgium,65.4,47.7,59.5,84.2,99.9,64.7
=112,Rice UniversityUnited States,65.4,55.1,46.1,88.4,72.5,85.2
=112,"University of Maryland, College ParkUnited States",65.4,49.0,57.7,92.1,71.6,49.4
115,University of SouthamptonUnited Kingdom,65.3,47.2,47.7,91.2,72.7,96.7
=116,McMaster UniversityCanadaExplore,65.2,41.2,50.2,93.0,100.0,87.6
=116,Ohio State University (Main campus)United States,65.2,55.0,51.7,87.6,83.6,58.4
=116,University of AlbertaCanadaExplore,65.2,48.2,56.7,79.3,100.0,90.4
=116,University of OsloNorway,65.2,46.6,52.4,91.6,74.5,77.7
120,Tohoku UniversityJapan,65.0,69.0,69.6,53.1,100.0,59.9
121,University of GöttingenGermany,64.8,49.2,54.0,88.2,70.7,70.5
122,Michigan State UniversityUnited States,64.7,54.9,53.5,83.5,70.0,69.1
123,University of LeedsUnited Kingdom,64.5,46.4,51.0,87.0,71.2,94.6
124,Technical University of DenmarkDenmark,64.4,49.8,46.8,84.0,99.8,92.2
125,Université de MontréalCanadaExplore,64.3,49.3,53.2,79.5,97.8,86.8
126,University of BaselSwitzerland,64.2,50.5,42.7,86.0,99.7,95.1
127,University of RochesterUnited States,63.9,50.8,44.5,87.8,91.6,80.1
=128,University of AdelaideAustraliaExplore,63.8,39.1,48.1,92.3,93.5,92.0
=128,University of FreiburgGermany,63.8,45.4,51.3,86.9,100.0,73.1
=130,University of FloridaUnited States,63.6,54.4,56.8,79.1,89.9,50.7
=130,Uppsala UniversitySweden,63.6,44.2,55.4,83.4,96.1,74.6
=132,Maastricht UniversityNetherlandsExplore,63.2,40.3,46.7,88.6,98.3,97.1
=132,University of HamburgGermany,63.2,44.5,53.5,85.2,99.6,66.3
=134,University of LausanneSwitzerland,63.0,41.0,46.0,89.5,99.0,89.8
=134,Wuhan UniversityChina,63.0,52.8,46.3,90.1,98.2,40.9
=136,University of ArizonaUnited States,62.7,48.0,52.8,86.3,81.0,54.5
=136,University of NottinghamUnited Kingdom,62.7,43.6,46.2,88.3,71.8,93.6
=136,Vrije Universiteit AmsterdamNetherlands,62.7,37.4,49.6,92.9,73.0,86.2
139,Trinity College DublinIreland,62.5,43.3,47.7,85.8,83.5,91.6
140,Technical University of BerlinGermany,62.4,45.4,54.7,79.5,99.7,71.4
=141,Queen Mary University of LondonUnited Kingdom,62.3,36.1,42.3,97.1,72.5,98.0
=141,University of Pittsburgh-Pittsburgh campusUnited States,62.3,48.6,45.7,93.0,76.2,49.8
=143,Radboud University NijmegenNetherlandsExplore,62.2,38.4,50.4,90.4,81.0,79.0
=143,Texas A&M UniversityUnited States,62.2,52.7,57.3,74.3,73.2,64.3
=143,University of Colorado BoulderUnited States,62.2,47.0,52.6,86.6,73.3,56.3
=146,Beijing Normal UniversityChina,62.1,57.5,48.4,79.9,80.7,52.0
=146,University of BolognaItalyExplore,62.1,53.1,47.7,83.8,79.8,57.0
=146,University of YorkUnited Kingdom,62.1,42.4,44.2,90.6,66.8,92.9
=149,The University of Western AustraliaAustralia,62.0,37.8,47.2,87.6,98.3,93.0
=149,University of BarcelonaSpainExplore,62.0,41.6,50.1,90.2,80.5,65.6
151,Pohang University of Science and Technology (POSTECH)South Korea,61.9,55.9,50.0,78.8,100.0,43.0
=152,Harbin Institute of TechnologyChina,61.8,57.3,55.2,74.7,99.9,33.7
=152,University of AucklandNew Zealand,61.8,40.4,46.4,87.8,87.4,88.5
=154,Scuola Normale Superiore di PisaItaly,61.7,59.5,46.5,82.6,36.4,59.0
=154,Tongji UniversityChina,61.7,51.6,53.3,72.8,99.0,70.1
=154,University of Technology SydneyAustralia,61.7,35.2,42.5,94.9,88.2,93.0
=157,Newcastle UniversityUnited KingdomExplore,61.4,37.1,42.9,93.0,82.9,90.8
=157,University of CologneGermany,61.4,42.9,47.5,86.0,96.5,70.5
159,Case Western Reserve UniversityUnited States,61.2,51.1,40.3,88.6,70.9,66.3
=160,TU DresdenGermany,61.1,47.2,50.6,78.6,99.8,65.9
=160,University of LiverpoolUnited KingdomExplore,61.1,40.1,40.7,92.1,65.7,95.5
162,The University of OsakaJapan,61.0,63.5,65.4,51.8,100.0,50.7
=163,University of Virginia (Main campus)United States,60.9,49.3,42.2,87.3,85.2,60.1
=163,University of WaterlooCanada,60.9,41.0,48.9,83.1,77.1,88.4
=163,University of WürzburgGermany,60.9,39.8,44.1,92.7,99.9,61.0
=166,Huazhong University of Science and TechnologyChinaExplore,60.8,46.7,48.4,88.3,99.7,33.0
=166,Karlsruhe Institute of TechnologyGermany,60.8,45.8,56.9,71.1,100.0,73.1
=168,Dartmouth CollegeUnited States,60.7,56.8,39.4,83.2,75.9,60.5
=168,Lancaster UniversityUnited Kingdom,60.7,41.6,40.8,89.1,66.4,96.2
=168,University of AntwerpBelgium,60.7,38.1,44.6,89.9,98.5,75.3
171,University of GenevaSwitzerland,60.6,43.2,39.0,86.4,84.0,96.5
=172,Durham UniversityUnited Kingdom,60.4,43.6,43.9,83.7,62.5,95.5
=172,National Taiwan University (NTU)Taiwan,60.4,53.3,54.6,69.0,100.0,55.0
=172,University of ExeterUnited Kingdom,60.4,34.8,42.3,94.9,56.0,94.9
175,Université Catholique de LouvainBelgium,60.2,39.4,49.4,81.1,94.0,82.6
=176,King Fahd University of Petroleum and MineralsSaudi ArabiaExplore,60.1,36.9,41.5,88.7,91.6,92.1
=176,Pompeu Fabra UniversitySpain,60.1,36.0,44.6,90.0,83.9,82.2
178,Macquarie UniversityAustralia,59.9,35.2,42.7,89.4,93.4,87.4
179,Tufts UniversityUnited States,59.8,50.7,36.3,89.1,72.7,63.1
=180,University of Cape TownSouth AfricaExplore,59.7,37.8,45.3,86.6,80.6,82.4
=180,University of MacauMacaoExplore,59.7,37.7,39.0,90.7,70.4,96.6
=180,University of TwenteNetherlands,59.7,43.6,46.4,74.6,99.3,93.1
=183,Southern University of Science and Technology (SUSTech)China,59.6,36.7,43.3,93.2,80.9,67.1
=183,Université Paris CitéFranceExplore,59.6,44.7,37.8,90.7,67.0,73.8
=185,Eindhoven University of TechnologyNetherlands,59.5,46.2,51.0,68.0,100.0,88.4
=185,Sapienza University of RomeItaly,59.5,53.4,50.8,73.7,93.0,42.6
=185,University of St AndrewsUnited Kingdom,59.5,47.4,44.0,76.9,65.5,94.8
188,University of MünsterGermany,59.4,44.0,47.9,83.9,82.2,54.7
=189,Indiana UniversityUnited States,59.3,46.6,38.3,87.4,85.0,64.0
=189,Korea UniversitySouth KoreaExplore,59.3,49.3,48.6,72.6,99.8,65.7
=191,Abu Dhabi UniversityUnited Arab EmiratesExplore,59.2,45.1,39.2,87.4,25.4,97.9
=191,Stockholm UniversitySweden,59.2,32.8,49.0,89.3,65.1,79.6
=191,University of LeicesterUnited Kingdom,59.2,34.9,34.9,96.1,69.7,95.5
=191,University of OttawaCanada,59.2,37.2,44.7,85.1,81.4,87.0
195,Tokyo Institute of TechnologyJapan,59.1,61.1,63.9,47.5,100.0,57.6
=196,Aalto UniversityFinland,58.9,41.7,43.1,81.3,88.2,82.7
=196,"University of California, Santa CruzUnited States",58.9,35.3,41.7,93.2,71.9,73.9
=196,University of Notre DameUnited States,58.9,53.2,45.1,72.4,73.9,72.3
=199,Ulm UniversityGermany,58.7,39.7,40.5,87.9,99.7,65.3
=199,Universitat Autònoma de Barcelona (UAB)Spain,58.7,43.9,42.4,84.1,72.4,70.3
=199,University of MannheimGermany,58.7,36.6,44.8,87.1,94.4,66.6
=199,University of São PauloBrazil,58.7,58.8,60.7,55.7,93.9,43.0
201–250,Arizona State University (Tempe)United StatesExplore,55.8–58.6,38.5,45.2,84.4,70.9,71.5
201–250,Beijing Institute of TechnologyChinaExplore,55.8–58.6,45.4,44.0,76.3,98.5,42.4
201–250,Cardiff UniversityUnited KingdomExplore,55.8–58.6,37.6,38.9,88.3,70.2,91.9
201–250,Chalmers University of TechnologySweden,55.8–58.6,41.7,46.0,74.0,94.6,78.6
201–250,Deakin UniversityAustralia,55.8–58.6,29.8,36.3,91.5,76.8,85.4
201–250,Friedrich Schiller University JenaGermanyExplore,55.8–58.6,42.6,42.3,83.0,78.0,64.2
201–250,Georgetown UniversityUnited States,55.8–58.6,50.4,34.7,83.7,92.3,54.3
201–250,George Washington UniversityUnited States,55.8–58.6,48.6,35.1,86.3,67.8,68.3
201–250,Goethe University FrankfurtGermany,55.8–58.6,42.5,43.3,82.5,83.9,68.7
201–250,Indian Institute of ScienceIndia,55.8–58.6,61.4,56.6,53.7,97.3,31.6
201–250,Khalifa UniversityUnited Arab EmiratesExplore,55.8–58.6,29.6,39.8,87.8,95.4,94.7
201–250,Linköping UniversitySweden,55.8–58.6,29.8,41.2,88.4,95.3,73.0
201–250,Medical University of GrazAustria,55.8–58.6,30.5,34.6,92.0,96.6,82.6
201–250,Medical University of ViennaAustria,55.8–58.6,39.7,29.7,93.9,97.5,81.0
201–250,Nagoya UniversityJapan,55.8–58.6,55.0,55.9,54.9,99.7,42.9
201–250,Nankai UniversityChina,55.8–58.6,50.0,32.3,86.4,76.0,49.2
201–250,"Northeastern University, USUnited States",55.8–58.6,39.5,32.7,91.9,69.5,82.7
201–250,Politecnico di MilanoItalyExplore,55.8–58.6,43.3,49.6,69.4,96.3,64.4
201–250,Qatar UniversityQatar,55.8–58.6,31.0,37.4,87.5,69.0,95.1
201–250,Queensland University of TechnologyAustraliaExplore,55.8–58.6,33.1,40.0,88.7,86.7,80.8
201–250,Queen’s University BelfastUnited KingdomExplore,55.8–58.6,35.2,37.8,89.8,67.6,98.3
201–250,Sant’Anna School of Advanced Studies – PisaItalyExplore,55.8–58.6,49.9,39.5,80.2,92.3,60.0
201–250,Sejong UniversitySouth Korea,55.8–58.6,31.8,34.9,94.3,83.2,68.9
201–250,Sichuan UniversityChina,55.8–58.6,48.2,49.1,72.8,98.8,44.6
201–250,Sun Yat-sen UniversityChina,55.8–58.6,47.1,38.1,83.7,93.7,37.1
201–250,Tel Aviv UniversityIsrael,55.8–58.6,40.4,49.1,79.5,78.7,54.9
201–250,Tianjin UniversityChina,55.8–58.6,46.8,47.7,73.4,99.6,57.3
201–250,Ulsan National Institute of Science and Technology (UNIST)South KoreaExplore,55.8–58.6,48.0,39.8,83.2,97.0,41.6
201–250,Université Libre de BruxellesBelgium,55.8–58.6,36.3,45.5,82.9,68.6,88.3
201–250,Universiti Teknologi PetronasMalaysia,55.8–58.6,36.8,39.1,82.2,80.2,78.0
201–250,University College DublinIreland,55.8–58.6,32.7,41.2,85.9,76.0,89.4
201–250,University of AberdeenUnited Kingdom,55.8–58.6,34.8,36.0,81.9,79.1,97.4
201–250,University of CalgaryCanada,55.8–58.6,34.4,42.8,83.6,88.9,85.7
201–250,University of Erlangen-NurembergGermanyExplore,55.8–58.6,42.1,48.4,78.5,100.0,61.8
201–250,University of GothenburgSweden,55.8–58.6,34.6,43.4,90.2,77.3,64.4
201–250,University of Illinois ChicagoUnited States,55.8–58.6,49.5,34.9,79.8,77.4,60.1
201–250,University of LuxembourgLuxembourg,55.8–58.6,39.2,39.5,77.1,81.3,92.7
201–250,University of MiamiUnited States,55.8–58.6,46.5,34.8,83.6,79.9,65.6
201–250,University of PaduaItaly,55.8–58.6,45.6,39.9,82.3,80.7,54.5
201–250,University of PotsdamGermany,55.8–58.6,37.7,45.2,81.8,91.2,66.3
201–250,University of ReadingUnited Kingdom,55.8–58.6,38.6,38.5,86.6,66.6,95.3
201–250,University of SurreyUnited Kingdom,55.8–58.6,33.8,34.7,89.0,73.3,96.8
201–250,University of SussexUnited Kingdom,55.8–58.6,31.8,36.0,89.6,62.7,95.5
201–250,University of UtahUnited States,55.8–58.6,44.0,39.0,89.0,88.5,41.6
201–250,University of WollongongAustralia,55.8–58.6,34.6,37.4,85.4,91.2,92.0
201–250,Vita-Salute San Raffaele UniversityItaly,55.8–58.6,34.2,33.5,99.0,67.2,48.0
201–250,Vrije Universiteit BrusselBelgium,55.8–58.6,37.6,42.7,81.1,90.4,78.3
201–250,Western UniversityCanadaExplore,55.8–58.6,39.5,42.1,76.7,99.5,87.0
201–250,Xi’an Jiaotong UniversityChina,55.8–58.6,45.6,49.1,74.0,99.9,34.0
251–300,Aalborg UniversityDenmark,53.7–55.7,31.7,44.7,80.9,87.6,73.5
251–300,Beihang UniversityChina,53.7–55.7,44.1,46.3,71.3,99.9,35.8
251–300,Boston CollegeUnited States,53.7–55.7,46.3,32.3,85.3,58.3,60.5
251–300,Curtin UniversityAustraliaExplore,53.7–55.7,28.2,34.7,88.9,76.6,94.8
251–300,East China Normal UniversityChina,53.7–55.7,43.9,36.0,78.5,87.2,52.8
251–300,École Normale Supérieure de LyonFrance,53.7–55.7,56.7,45.4,53.0,86.3,67.1
251–300,Hanyang UniversitySouth KoreaExplore,53.7–55.7,45.2,41.1,64.8,99.5,68.7
251–300,Heinrich Heine University DüsseldorfGermany,53.7–55.7,37.1,34.6,85.4,84.2,69.1
251–300,Hong Kong Baptist UniversityHong Kong,53.7–55.7,32.3,40.0,80.8,70.4,98.1
251–300,Humanitas UniversityItalyExplore,53.7–55.7,32.2,28.0,98.4,64.3,65.8
251–300,Johannes Gutenberg University of MainzGermany,53.7–55.7,38.7,33.2,81.8,82.9,65.7
251–300,King Saud UniversitySaudi Arabia,53.7–55.7,35.5,29.9,83.3,84.6,82.9
251–300,Kyung Hee UniversitySouth KoreaExplore,53.7–55.7,40.2,39.8,71.8,99.9,72.1
251–300,LUT UniversityFinlandExplore,53.7–55.7,31.7,35.6,87.2,80.7,70.1
251–300,La Trobe UniversityAustralia,53.7–55.7,29.2,36.2,89.3,77.2,88.1
251–300,Lebanese American UniversityLebanon,53.7–55.7,37.2,30.6,91.4,29.0,85.2
251–300,Macau University of Science and TechnologyMacaoExplore,53.7–55.7,33.9,36.7,79.6,73.9,98.0
251–300,Medical University of InnsbruckAustria,53.7–55.7,31.5,30.2,89.8,99.0,88.5
251–300,Moscow Institute of Physics and Technology (MIPT)Russian Federation,53.7–55.7,60.2,46.9,47.2,73.1,72.0
251–300,North Carolina State UniversityUnited States,53.7–55.7,44.9,40.7,71.1,79.5,62.4
251–300,Northwestern Polytechnical UniversityChinaExplore,53.7–55.7,37.7,41.9,76.3,99.2,49.1
251–300,Prince Mohammad Bin Fahd UniversitySaudi ArabiaExplore,53.7–55.7,39.1,37.3,79.2,46.0,90.9
251–300,RCSI University of Medicine and Health SciencesIrelandExplore,53.7–55.7,32.0,36.6,82.6,80.4,91.6
251–300,RMIT UniversityAustralia,53.7–55.7,34.0,36.5,82.8,77.0,92.9
251–300,Semmelweis UniversityHungaryExplore,53.7–55.7,45.0,29.6,80.1,74.7,78.5
251–300,South China University of TechnologyChina,53.7–55.7,36.4,38.0,84.3,99.5,44.6
251–300,Southern Medical UniversityChinaExplore,53.7–55.7,45.0,39.0,81.5,71.0,31.0
251–300,Stony Brook UniversityUnited States,53.7–55.7,44.0,31.7,81.4,68.0,76.4
251–300,Swinburne University of TechnologyAustraliaExplore,53.7–55.7,32.7,34.5,91.4,73.5,72.1
251–300,Technical University of DarmstadtGermany,53.7–55.7,42.7,48.0,65.0,99.9,68.8
251–300,Tilburg UniversityNetherlandsExplore,53.7–55.7,28.2,43.8,76.6,80.5,85.7
251–300,United Arab Emirates UniversityUnited Arab EmiratesExplore,53.7–55.7,28.4,37.3,88.9,81.3,88.2
251–300,Université LavalCanada,53.7–55.7,40.5,38.9,70.8,96.0,76.1
251–300,University at BuffaloUnited States,53.7–55.7,40.9,35.3,75.9,78.2,73.9
251–300,University of BathUnited Kingdom,53.7–55.7,37.5,35.5,81.3,66.6,94.5
251–300,University of BergenNorway,53.7–55.7,35.2,37.1,82.1,76.7,77.4
251–300,"University of California, RiversideUnited States",53.7–55.7,37.0,34.8,83.9,69.8,76.1
251–300,University of Duisburg-EssenGermany,53.7–55.7,35.4,36.0,82.9,90.1,65.0
251–300,University of East AngliaUnited KingdomExplore,53.7–55.7,31.5,31.3,90.1,59.7,88.8
251–300,University of Hawai’i at MānoaUnited States,53.7–55.7,40.6,43.4,75.7,67.8,76.7
251–300,University of IowaUnited States,53.7–55.7,46.5,33.2,78.0,91.5,54.3
251–300,University of KonstanzGermany,53.7–55.7,38.6,43.2,73.4,96.6,74.6
251–300,University of LiègeBelgium,53.7–55.7,34.0,42.8,72.9,96.7,74.5
251–300,University of MalayaMalaysia,53.7–55.7,45.5,36.7,69.2,60.8,88.9
251–300,University of NavarraSpain,53.7–55.7,37.2,32.3,84.5,87.0,75.9
251–300,University of NewcastleAustraliaExplore,53.7–55.7,31.7,36.0,84.8,84.6,83.3
251–300,University of OuluFinlandExplore,53.7–55.7,34.3,38.9,84.7,69.7,63.6
251–300,University of Southern DenmarkDenmark,53.7–55.7,30.3,35.0,88.3,95.0,76.8
251–300,University of StuttgartGermany,53.7–55.7,43.5,49.7,62.9,99.9,61.1
251–300,University of TasmaniaAustralia,53.7–55.7,32.0,36.3,81.6,76.7,90.0
251–300,Virginia Polytechnic Institute and State UniversityUnited StatesExplore,53.7–55.7,40.7,40.6,79.7,77.9,65.3
301–350,"Birkbeck, University of LondonUnited Kingdom",51.1–53.6,34.7,32.2,77.8,64.6,91.6
301–350,"China Medical University, TaiwanTaiwan",51.1–53.6,26.7,32.5,92.1,93.6,51.3
301–350,Dalhousie UniversityCanadaExplore,51.1–53.6,29.6,32.9,76.9,78.2,88.5
301–350,Flinders UniversityAustralia,51.1–53.6,27.2,37.3,78.9,71.6,88.3
301–350,Florida State UniversityUnited States,51.1–53.6,37.3,40.5,76.3,67.3,58.0
301–350,Griffith UniversityAustralia,51.1–53.6,28.5,36.1,83.1,78.4,82.5
301–350,Hasselt UniversityBelgium,51.1–53.6,33.1,38.2,73.4,88.5,72.1
301–350,Hebrew University of JerusalemIsrael,51.1–53.6,45.1,37.2,70.9,72.0,45.6
301–350,Hunan UniversityChina,51.1–53.6,34.2,32.9,91.7,93.1,32.9
301–350,King Khalid UniversitySaudi Arabia,51.1–53.6,39.0,30.2,74.3,58.5,90.9
301–350,Kyushu UniversityJapan,51.1–53.6,53.8,47.6,53.3,98.5,49.2
301–350,Loughborough UniversityUnited Kingdom,51.1–53.6,35.6,33.9,76.2,70.2,91.2
301–350,Norwegian University of Science and TechnologyNorway,51.1–53.6,35.3,39.3,75.4,72.3,66.3
